Name,Sigma,Kernel Size,Activator,Batch Size,Domain,Channels,Total runtime (seconds),Total runtime (minutes),Best Validation PSNR,Final Validation PSNR,Final Validation SSIM,Final Validation RMSE,Final Validation MAE,Final Validation MSE,Final Set12 PSNR,Final Set12 SSIM,Final Set12 RMSE,Final Set12 MAE,Final Set12 MSE
sigma15_k3_actleakyrelu_bs32_image,15,3,leakyrelu,32,image,1,1696.49,28.27,31.5937,31.593712265656986,0.8912924603013958,0.028106058956671138,0.019572858185069087,0.0007899505500758738,32.60184149959072,0.8996938689637632,0.023681273469831652,0.016875227602819603,0.0005608027131529525
sigma15_k3_actleakyrelu_bs32_fourier_complex,15,3,leakyrelu,32,fourier_complex,2,1748.3,29.14,50.8535,50.85349923699008,0.9978091659451257,0.0031863417747412404,0.0016913412306594716,1.0152773905461158e-05,50.41979123556334,0.99746965828334,0.0032915869398201076,0.0016744203846125554,1.0834544582394301e-05
sigma15_k3_actleakyrelu_bs64_image,15,3,leakyrelu,64,image,1,1737.0,28.95,31.3296,31.329566106781947,0.8836181805000427,0.02881348832851639,0.020276062115205124,0.0008302171096575501,32.24668587957972,0.8905449238492351,0.02465576300059313,0.017740752625589568,0.0006079066491414172
sigma15_k3_actleakyrelu_bs64_fourier_complex,15,3,leakyrelu,64,fourier_complex,2,1784.27,29.74,49.4709,49.47093832448534,0.9962406541281844,0.003645925427569031,0.002084805440116564,1.3292772223394422e-05,49.33122558257213,0.9967334137421465,0.0036801028499746577,0.0019811140664387494,1.35431569863916e-05
sigma15_k5_actrelu_bs8_image,15,5,relu,8,image,1,3248.51,54.14,29.9266,29.92656597858627,0.8263485810747719,0.03282455296110269,0.024581378599738374,0.0010774512770962354,30.384693384526397,0.8243457853490058,0.030398051715268812,0.02306901275490721,0.0009240415480841572
sigma15_k5_actrelu_bs8_fourier_complex,15,5,relu,8,fourier_complex,2,3422.87,57.05,51.8414,51.841369439923604,0.9989034893714424,0.002931072739110319,0.0014535964617286535,8.591187401955668e-06,51.28950533089272,0.9985744934167191,0.00304292175740104,0.0014495160818720858,9.259372821664632e-06
sigma15_k5_actrelu_bs16_image,15,5,relu,16,image,1,3144.03,52.4,31.5275,31.527515455931876,0.8915300957105163,0.028299852037357145,0.01974029080969665,0.0008008816253363073,32.48774660566507,0.8986540732306074,0.023981344692548177,0.017148313655828435,0.0005751048932628086
sigma15_k5_actrelu_bs16_fourier_complex,15,5,relu,16,fourier_complex,2,3186.34,53.11,49.9021,49.90207944315704,0.9966357135156524,0.009142285766641063,0.0019335379440556554,8.358138903892777e-05,50.50680041228676,0.9976413058187498,0.0032657096432113343,0.0016784731415100396,1.06648594737635e-05
sigma15_k5_actrelu_bs32_image,15,5,relu,32,image,1,3145.47,52.42,31.4541,31.454097743543382,0.8877172298809869,0.02848207092471983,0.01994822233887937,0.0008112283641607706,32.409829424293484,0.8960352587775424,0.024201172686882176,0.017339213207984965,0.0005856967594202919
sigma15_k5_actrelu_bs32_fourier_complex,15,5,relu,32,fourier_complex,2,3218.88,53.65,50.2961,50.296089999966505,0.9979288080583406,0.0033509247202771933,0.0017770731852472048,1.1228696480964786e-05,49.911781743487346,0.9974744008406978,0.003496974543633866,0.001789080696956565,1.2228830958823286e-05
sigma15_k5_actrelu_bs64_image,15,5,relu,64,image,1,3064.13,51.07,31.2803,31.280251330330852,0.883935617917553,0.02898644038312808,0.020428618806523875,0.0008402137260846383,31.578466139301668,0.8901394557313366,0.029765914752907623,0.01842211823289593,0.0008860096810773636
sigma15_k5_actrelu_bs64_fourier_complex,15,5,relu,64,fourier_complex,2,3103.3,51.72,50.1252,50.12519273627463,0.9965896585715333,0.003763322416282733,0.0018485524085596861,1.4162595608896107e-05,49.87203042863957,0.9963147368403319,0.0034937778099859034,0.0018448156382267673,1.2206483385549896e-05
sigma15_k5_actleakyrelu_bs8_image,15,5,leakyrelu,8,image,1,3371.67,56.19,31.6768,31.67675153074186,0.8938543522579468,0.02787619805916313,0.019339339780237746,0.0007770824182336903,32.700470981867944,0.9025309379264046,0.023417419844442938,0.016653703913713496,0.0005483755521709099
