Name,Sigma,Kernel,Activation,Batch Size,Domain,Val PSNR,Val SSIM,Val RMSE,Val MAE,Set12 PSNR,Set12 SSIM,Set12 RMSE,Set12 MAE,Runtime (min)
sigma25_k3_actrelu_bs32_fourier_complex,25,3,relu,32,fourier_complex,47.5242,0.9899,0.00480,0.00290,47.2894,0.9910,0.00455,0.00281,28.9
sigma25_k3_actrelu_bs64_image,25,3,relu,64,image,28.9144,0.8177,0.03847,0.02658,29.9061,0.8441,0.03240,0.02276,28.7
sigma25_k3_actrelu_bs64_fourier_complex,25,3,relu,64,fourier_complex,48.0977,0.9953,0.00416,0.00242,47.8384,0.9948,0.00431,0.00242,29.5
sigma25_k3_actleakyrelu_bs8_image,25,3,leakyrelu,8,image,29.1547,0.8306,0.03764,0.02564,30.2527,0.8581,0.03116,0.02165,30.1
sigma25_k3_actleakyrelu_bs8_fourier_complex,25,3,leakyrelu,8,fourier_complex,48.7023,0.9955,0.00392,0.00224,48.0980,0.9948,0.00421,0.00227,31.3
sigma25_k3_actleakyrelu_bs16_image,25,3,leakyrelu,16,image,29.1329,0.8272,0.03769,0.02575,30.2349,0.8563,0.03123,0.02172,29.0
sigma25_k3_actleakyrelu_bs16_fourier_complex,25,3,leakyrelu,16,fourier_complex,48.5036,0.9946,0.00399,0.00232,48.0448,0.9940,0.00422,0.00232,29.7
sigma25_k3_actleakyrelu_bs32_image,25,3,leakyrelu,32,image,29.0375,0.8263,0.03804,0.02611,30.0875,0.8522,0.03174,0.02217,28.2
sigma25_k3_actleakyrelu_bs32_fourier_complex,25,3,leakyrelu,32,fourier_complex,48.4607,0.9945,0.00400,0.00232,48.0906,0.9939,0.00419,0.00232,28.8
sigma25_k3_actleakyrelu_bs64_image,25,3,leakyrelu,64,image,28.8171,0.8134,0.03882,0.02684,29.7594,0.8394,0.03293,0.02320,28.5
sigma25_k3_actleakyrelu_bs64_fourier_complex,25,3,leakyrelu,64,fourier_complex,46.2993,0.9878,0.00509,0.00331,46.2815,0.9887,0.00505,0.00317,29.4
sigma25_k5_actrelu_bs8_image,25,5,relu,8,image,26.6750,0.7772,0.05849,0.03232,27.0297,0.8007,0.06129,0.02969,53.8
sigma25_k5_actrelu_bs8_fourier_complex,25,5,relu,8,fourier_complex,50.3010,0.9981,0.00339,0.00172,49.9158,0.9978,0.00354,0.00171,56.9
sigma25_k5_actrelu_bs16_image,25,5,relu,16,image,28.6232,0.8068,0.03951,0.02770,29.4776,0.8268,0.03398,0.02433,52.7
sigma25_k5_actrelu_bs16_fourier_complex,25,5,relu,16,fourier_complex,48.5267,0.9966,0.00399,0.00222,48.1329,0.9960,0.00419,0.00224,53.8
sigma25_k5_actrelu_bs32_image,25,5,relu,32,image,28.3788,0.8016,0.04083,0.02847,29.2332,0.8268,0.03507,0.02483,52.7
sigma25_k5_actrelu_bs32_fourier_complex,25,5,relu,32,fourier_complex,41.1319,0.9603,0.00946,0.00590,41.5874,0.9654,0.00846,0.00529,53.7
sigma25_k5_actrelu_bs64_image,25,5,relu,64,image,28.6905,0.8114,0.03948,0.02715,29.7050,0.8382,0.03315,0.02336,51.0
sigma25_k5_actrelu_bs64_fourier_complex,25,5,relu,64,fourier_complex,40.3843,0.9470,0.01028,0.00645,40.5889,0.9553,0.00946,0.00609,51.7
sigma25_k5_actleakyrelu_bs8_image,25,5,leakyrelu,8,image,28.4492,0.7971,0.04012,0.02825,29.3122,0.8186,0.03461,0.02482,56.1
sigma25_k5_actleakyrelu_bs8_fourier_complex,25,5,leakyrelu,8,fourier_complex,47.1390,0.9952,0.01843,0.00287,49.3720,0.9972,0.00368,0.00197,57.5
sigma25_k5_actleakyrelu_bs16_image,25,5,leakyrelu,16,image,28.9801,0.8261,0.03887,0.02609,30.1365,0.8540,0.03159,0.02189,53.6
sigma25_k5_actleakyrelu_bs16_fourier_complex,25,5,leakyrelu,16,fourier_complex,48.6627,0.9970,0.00394,0.00201,48.2965,0.9963,0.00417,0.00207,54.3
sigma25_k5_actleakyrelu_bs32_image,25,5,leakyrelu,32,image,29.0739,0.8289,0.03787,0.02591,30.1630,0.8542,0.03149,0.02205,52.6
sigma25_k5_actleakyrelu_bs32_fourier_complex,25,5,leakyrelu,32,fourier_complex,44.4617,0.9818,0.00607,0.00400,44.1878,0.9813,0.00635,0.00407,54.1
sigma25_k5_actleakyrelu_bs64_image,25,5,leakyrelu,64,image,28.8125,0.8158,0.03882,0.02701,29.7349,0.8385,0.03303,0.02341,51.5
sigma25_k5_actleakyrelu_bs64_fourier_complex,25,5,leakyrelu,64,fourier_complex,47.6834,0.9951,0.00438,0.00224,47.1545,0.9943,0.00478,0.00233,52.2
sigma50_k3_actrelu_bs8_image,50,3,relu,8,image,26.0361,0.7036,0.05405,0.03660,26.8761,0.7648,0.04613,0.03155,30.0
sigma50_k3_actrelu_bs8_fourier_complex,50,3,relu,8,fourier_complex,44.4071,0.9864,0.00614,0.00369,44.6082,0.9863,0.00610,0.00366,31.3
sigma50_k3_actrelu_bs16_image,50,3,relu,16,image,26.1525,0.7148,0.05355,0.03607,26.9987,0.7730,0.04548,0.03095,28.9
sigma50_k3_actrelu_bs16_fourier_complex,50,3,relu,16,fourier_complex,44.0064,0.9864,0.00640,0.00431,44.0675,0.9852,0.00644,0.00439,29.7
sigma50_k3_actrelu_bs32_image,50,3,relu,32,image,26.0861,0.7104,0.05390,0.03634,26.8773,0.7663,0.04613,0.03154,28.2
sigma50_k3_actrelu_bs32_fourier_complex,50,3,relu,32,fourier_complex,43.6064,0.9817,0.00669,0.00432,43.4377,0.9806,0.00694,0.00433,29.1
sigma50_k3_actrelu_bs64_image,50,3,relu,64,image,25.9459,0.6949,0.05471,0.03708,26.6309,0.7509,0.04747,0.03252,28.9
sigma50_k3_actrelu_bs64_fourier_complex,50,3,relu,64,fourier_complex,43.5281,0.9820,0.00676,0.00449,43.3236,0.9810,0.00704,0.00446,29.4
sigma50_k3_actleakyrelu_bs8_image,50,3,leakyrelu,8,image,26.1692,0.7151,0.05347,0.03599,26.9729,0.7714,0.04560,0.03107,30.0
sigma50_k3_actleakyrelu_bs8_fourier_complex,50,3,leakyrelu,8,fourier_complex,44.5235,0.9857,0.00609,0.00364,44.8168,0.9868,0.00596,0.00356,31.0
